T (C);CH4;C2H6;C3H8;nC4H10;iC4H10;nC5H12;iC5H12;nC6H14;N2
-183.15;0.035441;0.046081;0.060461;0.074708;0.076084;0.089173;0.089243;;0.037543
-181.15;0.035649;0.046235;0.060632;0.074891;0.076274;0.089379;0.089454;;0.038081
-179.15;0.035861;0.04639;0.060804;0.075075;0.076466;0.089586;0.089666;0.1028201;0.03865
-177.15;0.036077;0.046547;0.060977;0.075259;0.076659;0.089793;0.089878;0.1030321;0.039254
-175.15;0.036298;0.046704;0.061151;0.075445;0.076853;0.09;0.090091;0.1032441;0.039897
-173.15;0.036524;0.046863;0.061325;0.075631;0.077047;0.090208;0.090304;0.1034598;0.040586
-171.15;0.036755;0.047023;0.061501;0.075818;0.077243;0.090416;0.090518;0.1036758;0.041327
-169.15;0.036992;0.047185;0.061677;0.076006;0.07744;0.090624;0.090733;0.1038918;0.042128
-167.15;0.037234;0.047348;0.061855;0.076194;0.077637;0.090833;0.090948;0.1041078;0.043002
-165.15;0.037481;0.047512;0.062033;0.076384;0.077836;0.091042;0.091163;0.1043238;0.043963
-163.15;0.037735;0.047678;0.062212;0.076574;0.078035;0.091252;0.091379;0.1045435;0.045031
-161.15;0.037995;0.047845;0.062392;0.076765;0.078236;0.091462;0.091596;0.1047635;0.046231
-159.15;0.038262;0.048014;0.062574;0.076957;0.078438;0.091673;0.091814;0.1049852;0.047602
-157.15;0.038536;0.048184;0.062756;0.07715;0.07864;0.091884;0.092032;0.1052092;0.049179
-155.15;0.038817;0.048356;0.062939;0.077344;0.078844;0.092095;0.092251;0.1054332;0.050885
-153.15;0.039106;0.048529;0.063124;0.077539;0.079049;0.092307;0.09247;0.1056609;0.052714
-151.15;0.039404;0.048704;0.063309;0.077734;0.079255;0.09252;0.09269;0.1058889;0.054679
-149.15;0.03971;0.048881;0.063496;0.077931;0.079462;0.092733;0.092911;0.1061169;0.056797
-147.15;0.040025;0.049059;0.063684;0.078128;0.079671;0.092947;0.093133;0.1063449;0.059085
-145.15;0.04035;0.049239;0.063873;0.078327;0.07988;0.093161;0.093355;0.1065729;0.061565
-143.15;0.040685;0.049421;0.064063;0.078526;0.080091;0.093376;0.093578;0.1068009;0.064263
-141.15;0.041031;0.049605;0.064254;0.078727;0.080303;0.093591;0.093801;0.1070289;0.067208
-139.15;0.041389;0.04979;0.064446;0.078928;0.080516;0.093807;0.094026;;0.070435
-137.15;0.04176;0.049978;0.06464;0.07913;0.08073;0.094024;0.094251;;0.073989
-135.15;0.042144;0.050167;0.064835;0.079334;0.080946;0.094241;0.094477;;0.077919
-133.15;0.042542;0.050359;0.065031;0.079538;0.081162;0.094459;0.094704;;0.082291
-131.15;0.042956;0.050552;0.065229;0.079744;0.08138;0.094678;0.094932;;0.087183
-129.15;0.043387;0.050748;0.065427;0.07995;0.0816;0.094897;0.09516;;0.092693
-127.15;0.043836;0.050946;0.065628;0.080158;0.081821;0.095117;0.095389;;0.098947
-125.15;0.044304;0.051146;0.065829;0.080367;0.082043;0.095338;0.09562;;0.106105
-123.15;0.044794;0.051348;0.066032;0.080577;0.082266;0.09556;0.095851;;0.11438
